ID,Text,Translation
9227,IMM Training Simulation,Mô phỏng đào tạo IMM
7155,Welcome to Mars!,Chào mừng đến với sao Hỏa!
9231,<goal>Zoom in towards the suggested landing site.,<goal>Phóng to về phía vị trí được đề xuất.
5497,Camera Controls,Điều khiển camera
9230,You need to master the camera controls and familiarize yourself with the terrain around the prospective colony site.,Bạn cần phải thành thạo điều khiển camera và làm quen với địa hình xung quanh khu vực căn cứ tiềm năng.
9234,"Proceed by selecting the pinned icon representing the Rocket that is currently in orbit around Mars.

<goal>Land the Rocket on Mars.","Tiếp tục bằng cách chọn biểu tượng được ghim đại diện cho Tên lửa hiện đang ở trên quỹ đạo quanh sao Hỏa.

<goal>Hạ cánh tên lửa trên sao Hỏa."
9232,Landing the Rocket,Hạ cánh tên lửa
9233,Now it's time to land your first Rocket.,Bây giờ đã đến lúc hạ cánh Tên lửa đầu tiên của bạn.
9237,"It carries Drones - remotely controlled robots which constitute your construction and resources gathering workforce.

Gathering basic resources for building construction is one of the first things our Martian base needs. Place a Metals Depot so the Drones begin automatically bringing Metals from the scattered surface deposits nearby.

<goal>Gather 5 Metals in a Metals Depot.","Nó Drone vận chuyển - rô bốt được điều khiển từ xa tạo thành lực lượng lao động thu thập tài nguyên và xây dựng của bạn.

Thu thập tài nguyên cơ bản để xây dựng công trình là một trong những điều đầu tiên mà căn cứ trên sao Hỏa của chúng ta cần. Đặt Kho chứa kim loại để Drone bắt đầu tự động mang Kim loại từ lớp trầm tích bề mặt rải rác gần đó.

<goal>Thu thập 5 kim loại trong kho chứa kim loại."
9235,Drones and Resources,Drone và Tài nguyên
9236,...and we have touchdown! The Rocket has landed on Mars.,... và chúng ta có vùng cấm! Tên lửa đã hạ cánh trên sao Hỏa.
9240,<goal>Place a Universal Depot near your Rocket.,<goal>Đặt một tổng kho gần tên lửa của bạn.
9238,Unloading the Payload,Dỡ tải
9239,"Our Rocket carries valuable resources that will be essential for the construction and maintenance of the Colony. Initially it's best to designate a Universal Depot, so the Drones have a place to store them.","Tên lửa của chúng ta mang theo nguồn tài nguyên quý giá sẽ rất cần thiết cho việc xây dựng và duy trì căn cứ. Ban đầu, tốt nhất bạn nên chỉ định một Kho lưu trữ đa năng, để Drone có một nơi để lưu trữ chúng."
9242,"The Concrete Extractor building must be placed over or within proximity of a Concrete deposit.

<goal>From the build menu, select to build a Concrete Extractor and place it at the proposed location.","Công trình Máy chiết xuất bê tông phải được đặt trên hoặc gần khu vực trầm tích bê tông.

<goal>Từ menu xây dựng, hãy chọn chế tạo Máy chiết xuất bê tông và đặt nó tại vị trí được đề xuất."
5032,Concrete Extractor,Máy chiết xuất bê tông
9241,"Along with Metals, Concrete is the other vital basic construction resource.","Cùng với kim loại, bê tông là tài nguyên xây dựng cơ bản quan trọng khác."
9245,"Buildings are constructed by Drones. If you place a building outside the Drones' work range it won't be constructed. When placing buildings, make sure that those buildings are within range of drone controllers like the Rocket, Drone Hubs or RC Commanders.

You can select the Rocket to view its control radius.","Công trình được xây dựng bằng Drone. Nếu bạn đặt một công trình bên ngoài phạm vi làm việc của Drone, nó sẽ không được xây. Khi đặt công trình, hãy đảm bảo rằng công trình đó nằm trong phạm vi của bộ điều khiển Drone như tên lửa, trung tâm Drone hoặc Chỉ huy RC.

Bạn có thể chọn tên lửa để xem bán kính điều khiển của nó."
9243,Drone Range,Phạm vi Drone
9244,You are trying to place a construction outside of the work range of your Drones.,Bạn đang cố đặt công trình xây dựng ngoài phạm vi công việc của Drone.
9247,"Stirling Generators are excellent power sources but they are too complex to be built on Mars during the early stages of our colonization effort. That is why we ship them from Earth partially assembled in prefabs. Prefabs do not require any resources, only drones to unpack and assemble them.

We've provided you with a Stirling Generator prefab.

<goal>Construct a Stirling Generator and then connect it to the Concrete extractor with a Power Cable or place the Stirling Generator adjacent to the Concrete Extractor for a direct connection.","Máy phát điện Stirling là nguồn năng lượng tuyệt vời nhưng chúng quá phức tạp để xây trên sao Hỏa trong giai đoạn đầu căn cứ của chúng ta. Đó là lý do tại sao chúng ta vận chuyển chúng từ Trái đất được lắp ráp một phần trong dựng sẵn. Dựng sẵn không yêu cầu bất kỳ tài nguyên nào, chỉ có Drone để giải nén và lắp ráp chúng.

Chúng ta đã cung cấp cho bạn Máy phát điện Stirling lắp sẵn.

<goal>Xây Máy phát điện Stirling và sau đó kết nối nó với Máy chiết xuất bê tông bằng Cáp điện hoặc đặt Máy phát điện Stirling cạnh Máy chiết xuất bê tông để có kết nối trực tiếp."
9246,"Like most buildings, the Concrete Extractor needs  power in order to operate. Having a reliable electrical grid and supply is essential for the success of the colony.","Giống như hầu hết công trình, Máy chiết xuất bê tông cần nguồn điện để hoạt động. Có một mạng lưới điện và nguồn cung cấp đáng tin cậy là điều cần thiết cho sự thành công của căn cứ."
9250,"The amount of Waste Rock per resource extracted depends on the Grade of the resource deposit. You can select a resource deposit to view its Grade and the amount of resources remaining in it.

<goal>Place a Dumping Site and a Concrete Depot to store the extracted Concrete.","Số lượng Đá thải trên mỗi tài nguyên được khai thác phụ thuộc vào Cấp của mỏ tài nguyên. Bạn có thể chọn trầm tích tài nguyên để xem cấp của nó và số lượng tài nguyên còn lại trong đó.

<goal>Đặt bãi rác và kho bê tông để lưu trữ bê tông đã được khai thác."
9248,Waste Rock and the Concrete Depot,Đá thải và Kho bê tông
9249,Waste Rock is a byproduct of all extractors and is best stored at designated locations. This way you can ensure that it will not be in the way of future construction.,Đá thải là sản phẩm phụ của tất cả thiết bị chiết xuất và tốt nhất nên được lưu trữ tại địa điểm được chỉ định. Bằng cách này bạn có thể đảm bảo rằng nó sẽ không cản trở quá trình xây trong tương lai.
9253,"Currently all Drones are assigned to the Rocket. When the Rocket is selected the work range of all Drones assigned to it will be visualized. If the Rocket takes off, however, all these Drones will need another controller.

<goal>Build a Drone Hub and make sure it is supplied with power.","Hiện tại tất cả Drone đều được giao cho tên lửa. Khi tên lửa được chọn, phạm vi làm việc của tất cả Drone được chỉ định cho nó sẽ được hiển thị. Tuy nhiên, nếu tên lửa cất cánh, tất cả Drone này sẽ cần một bộ điều khiển khác.

<goal>Xây trung tâm Drone và đảm bảo nó được cung cấp điện."
9251,Drones and Drone Hubs,Drone và trung tâm Drone
9252,Drones will pick pending tasks on their own within the range of the drone controllers they are assigned to.,Drone sẽ tự chọn nhiệm vụ đang chờ xử lý trong phạm vi của bộ điều khiển Drone mà chúng được chỉ định.
9255,"Every Drone Hub has two Recharge Stations built-in, but you might need additional ones as the Colony spreads out. Constructing Recharge Stations, especially along areas with heavy Drone activity, will prove vital for maintaining an efficient work force.

<goal>Build a Recharge Station near the Concrete Extractor.","Mỗi trung tâm Drone đều tích hợp sẵn hai trạm bổ sung, nhưng bạn có thể cần thêm trạm bổ sung khi căn cứ mở rộng ra. Việc xây trạm bổ sung, đặc biệt là dọc theo khu vực có nhiều hoạt động của Drone, sẽ là yếu tố quan trọng để duy trì lực lượng lao động hiệu quả.

<goal>Xây trạm sạc gần Máy chiết xuất bê tông."
5541,Drone Batteries,Pin Drone
9254,Drones run on batteries that have to be recharged periodically.,Drone chạy bằng pin phải được sạc lại định kỳ.
9257,"Every Rocket has enough fuel for a one-way trip to Mars and has to be refueled on site, so it can return to Earth and be reused.
 
Fuel is produced in a Fuel Refinery. To setup the production chain, we will also need Water.

<goal>Build a Moisture Vaporator and then a Fuel Refinery.","Mỗi tên lửa đều có đủ nhiên liệu cho chuyến đi một chiều đến sao Hỏa và phải được tiếp nhiên liệu tại chỗ, để nó có thể quay trở lại Trái đất và được tái sử dụng.
 
Nhiên liệu được sản xuất trong nhà máy lọc nhiên liệu. Để thiết lập chuỗi sản xuất, chúng ta cũng sẽ cần Nước.

<goal>Xây Máy lọc hơi ẩm và sau đó là một nhà máy lọc nhiên liệu."
5503,Refueling the Rocket,Tiếp nhiên liệu cho tên lửa
9256,"Maintaining a steady supply chain between Earth and Mars is essential, especially during the early colonization stages. ","Duy trì chuỗi cung ứng ổn định giữa Trái đất và sao Hỏa là điều cần thiết, đặc biệt là trong giai đoạn đầu căn cứ."
9260,"Luckily, we have an extra Stirling Generator Prefab we could use.

<goal>Build a new Stirling Generator along the power network.","May mắn thay, chúng ta có thêm Máy phát điện Stirling dựng sẵn mà chúng ta có thể sử dụng.

<goal>Xây Máy phát điện Stirling mới dọc theo mạng lưới điện."
9258,Insufficient Power,Không đủ điện
9259,We don't have sufficient Power for all the buildings in the colony.,Chúng ta không có đủ điện cho tất cả công trình trong căn cứ.
9262,"The Moisture Vaporator has to be connected with Pipes to the Fuel Refinery. 

<goal>Connect the Moisture Vaporator to the Fuel Refinery with Pipes.","Máy lọc hơi ẩm phải được kết nối với đường ống dẫn đến nhà máy lọc nhiên liệu.

<goal>Kết nối Máy lọc hơi ẩm với Nhà máy lọc nhiên liệu bằng đường ống."
9261,A system of Pipes is used to deliver resources such as Water and Air where they are needed.,Hệ thống đường ống được sử dụng để cung cấp nguồn tài nguyên như Nước và Không khí đến những nơi cần thiết.
9264,"Use the Speed Controls to increase the game speed, so the Rocket refuels faster.

<effect>For the purposes of this tutorial simulation the Rocket needs far less fuel (5) than it would during a normal playthrough (50).

<goal>Refuel the Rocket.","Sử dụng Điều khiển tốc độ để tăng tốc độ trò chơi, do đó tên lửa tiếp nhiên liệu nhanh hơn.

<effect>Đối với mục đích của mô phỏng hướng dẫn này, Tên lửa cần ít nhiên liệu (5) hơn nhiều so với khi chơi thông thường (50).

<goal>Tiếp nhiên liệu cho tên lửa."
9263,Fuel production is now underway and the Drones will begin to deliver the Fuel to the Rocket.,Quá trình sản xuất nhiên liệu hiện đang được tiến hành và Drone sẽ bắt đầu cung cấp Nhiên liệu cho Tên lửa.
9268,"Play Next Tutorial - ""Rovers, Exploration & Research""","Chơi hướng dẫn tiếp theo - ""Rovers, Do thám & Nghiên cứu"""
9267,You've learned how to setup a basic outpost on Mars that can gather resources for further expansion and refuel Rockets. Using Rockets to bring in additional supplies from Earth is essential for a fledgling colony.,Bạn đã học cách thiết lập tiền đồn cơ bản trên sao Hỏa có thể thu thập tài nguyên để mở rộng thêm và tiếp nhiên liệu cho Tên lửa. Sử dụng Tên lửa để mang thêm nguồn cung cấp từ Trái đất là điều cần thiết đối với căn cứ non trẻ.
9266,"Congratulations, you have finished the first tutorial!","Xin chúc mừng, bạn đã hoàn thành phần hướng dẫn đầu tiên!"
9270,"Rovers are vehicles with a variety of useful functions like transporting resources, commanding Drones and analyzing Anomalies. You have direct control over all Rovers in the colony.

<goal>Select the RC Transport and move it to the designated area.","Rover là phương tiện có nhiều chức năng hữu ích như vận chuyển tài nguyên, chỉ huy Drone và phân tích điểm dị thường. Bạn có quyền kiểm soát trực tiếp tất cả Rover trong căn cứ.

<goal>Chọn Vận tải RC và di chuyển nó đến khu vực được chỉ định."
5438,Rovers,Rover
9269,"Welcome, Commander! In this training exercise you will get acquainted with one of your most valuable tools - Rovers.","Chào mừng, chỉ huy! Trong bài huấn luyện này, bạn sẽ làm quen với một trong những công cụ có giá trị nhất của bạn - Rover."
9274,"Use the RC Transport to load Fuel from the fuel depot in the base, then unload it close to the Rocket, so that its drones can load it into the rocket.

Drones can also take resources directly from the RC Transport if they need them, however unloading the resources is quicker and will free up the RC Transport for other tasks.

<goal>Load Fuel on to the RC Transport and unload it next to the Rocket.","Sử dụng Vận tải RC để nạp Nhiên liệu từ kho nhiên liệu trong căn cứ, sau đó dỡ nó gần tên lửa, để Drone của nó có thể nạp nhiên liệu vào tên lửa.

Drone cũng có thể lấy tài nguyên trực tiếp từ vận tải RC nếu chúng cần, tuy nhiên việc dỡ tài nguyên nhanh hơn và sẽ giải phóng vận tải RC cho nhiệm vụ khác.

<goal>Nạp nhiên liệu vào vận tải RC và dỡ nó bên cạnh tên lửa."
9273,The RC Transport can load and carry resources around the map. Let's use it to refuel the nearby Rocket.,Vận tải RC có thể tải và vận chuyển tài nguyên trên bản đồ. Hãy sử dụng nó để tiếp nhiên liệu cho tên lửa gần đó.
9276,"If Drones lose their controller they will look for new controllers nearby. However, when there are no controllers nearby you'll have to manually reassign them to a new controller.

The ""Reassign"" command also allows you to reassign Drones to understaffed controllers with heavy Drone load.

<goal>Assign these Drones to the nearby Drone Hub.","Nếu Drone mất bộ điều khiển, chúng sẽ tìm bộ điều khiển mới gần đó. Tuy nhiên, khi không có bộ điều khiển nào gần đó, bạn sẽ phải gán lại chúng theo cách thủ công cho bộ điều khiển mới.

Lệnh ""Chỉ định lại"" cũng cho phép bạn chỉ định lại Drone cho bộ điều khiển thiếu nhân lực với Drone tải nặng.

<goal>Gán Drone này cho trung tâm Drone gần đó."
5672,Orphaned Drones,Drone mồ côi
9275,Some Drones are left without a controller after the Rocket launch.,Một số Drone bị bỏ lại mà không có bộ điều khiển sau khi phóng tên lửa.
9278,"Send the RC Transport to gather some Metals from the deposit indicated by the arrow.

<goal>Gather 5 Metals with the RC Transport.","Gửi vận tải RC để thu thập một số Kim loại từ trầm tích được chỉ định bằng mũi tên.

<goal>Thu thập 5 kim loại với vận tải RC."
9277,The RC Transport is able to gather resources directly from surface deposits without the help of Drones.,Vận tải RC có thể thu thập tài nguyên trực tiếp từ trầm tích bề mặt mà không cần sự trợ giúp của Drone.
9280,"We will need resources for the new base. The RC Transport can be ordered to transfer a large amount of resources in multiple goes via the ""Create Transport Route"" command.

<goal>Set a transport route between the Universal Storage in the base and the marked location above the main base.","Chúng ta sẽ cần tài nguyên cho căn cứ mới. Vận tải RC có thể được lệnh để chuyển một lượng lớn tài nguyên trong nhiều lần thông qua lệnh ""Tạo tuyến đường vận chuyển"".

<goal>Đặt tuyến đường vận chuyển giữa Kho lưu trữ đa năng trong căn cứ và vị trí được đánh dấu phía trên căn cứ chính."
9099,RC Transport - Transport Routes,Vận tải RC - Tuyến đường vận chuyển
9279,Let's set up a small expand some distance away from the main base.,Hãy thiết lập phần mở rộng nhỏ cách xa căn cứ chính.
9282,"The RC Commander is a mobile drone controller that carries its own drones. With its help you can gather resources from surface deposits, construct and maintain buildings.

When moving far distances the RC Commander will first recall its drones before moving off to its destination.

<goal>Move the RC Commander to the site of the expand.","Chỉ huy RC là bộ điều khiển Drone di động mang theo Drone của riêng nó. Với sự trợ giúp của nó, bạn có thể thu thập tài nguyên từ trầm tích bề mặt, xây dựng và bảo trì công trình.

Khi di chuyển khoảng cách xa, chỉ huy RC sẽ thu hồi drone của nó trước khi di chuyển đến đích.

<goal>Di chuyển chỉ huy RC đến vị trí mở rộng."
1682,RC Commander,Chỉ huy RC
9285,"Use the resources that the RC Transport delivered to build and power a new Sensor Tower that will help us scan the nearby locations for new resources and Anomalies.

<goal> Construct a Sensor Tower and a Stirling Generator to power it.","Sử dụng tài nguyên mà vận chuyển RC đã cung cấp để xây dựng và cung cấp năng lượng cho Tháp cảm biến mới sẽ giúp chúng ta quét vị trí lân cận để tìm tài nguyên mới và Điểm dị thường.

<goal> Xây tháp cảm biến và Máy phát điện Stirling để cung cấp năng lượng cho nó."
9283,New Expand,Mở rộng mới
9284,We need to construct a new Sensor Tower to scan the nearby environment.,Chúng ta cần xây dựng Tháp cảm biến mới để quét môi trường gần đó.
9287,"You can scan new sectors to discover more resource deposits and Anomalies. This is done from the Map Overview.

<goal>Go to the Map Overview.","Bạn có thể quét khu vực mới để khám phá thêm trầm tích tài nguyên và điểm dị thường. Điều này được thực hiện từ bản đồ tổng quan.

<goal>Đi tới bản đồ tổng quan."
9286,It is time to learn about scanning sectors and exploration.,Đã đến lúc tìm hiểu về lĩnh vực quét và do thám.
9289,"There are two main ways to scan - one is to queue sectors for scanning. These sectors will be scanned one by one gradually over time. Sensor Towers speed up the scanning process of sectors near them.

The other way is to use Probes which you can buy using funding and bring on resupply Rockets from Earth.

<goal>Use a Probe to explore a sector.","Có hai cách chính để quét - một là xếp hàng chờ khu vực để quét. Khu vực này sẽ được quét từng cái một dần dần theo thời gian. Tháp cảm biến tăng tốc quá trình quét khu vực gần chúng.

Cách khác là sử dụng đầu dò mà bạn có thể mua bằng cách sử dụng tiền tài trợ và mang theo tên lửa tiếp tế từ Trái đất.

<goal>Sử dụng đầu dò để khám phá khu vực."
5422,Exploration,Do thám
9288,You can scan sectors of the map to discover new resources and Anomalies.,Bạn có thể quét khu vực của bản đồ để khám phá tài nguyên mới và điểm dị thường.
9293,"Select the RC Explorer and use the ""Move/Interact"" action to order it to analyze the Anomaly. This will take a while, so consider increasing the game speed to fastest.

<goal>Use the RC Explorer to analyze the Anomaly.","Chọn do thám RC và sử dụng hành động ""Di chuyển/Tương tác"" để ra lệnh cho nó phân tích sự dị thường. Việc này sẽ mất một khoảng thời gian, vì vậy hãy cân nhắc việc tăng tốc độ trò chơi lên nhanh nhất.

<goal>Sử dụng do thám RC để phân tích điểm dị thường."
9292,Well done! Now it's time to use our fully operational RC Explorer to analyze the Anomaly.,Làm tốt! Bây giờ đã đến lúc sử dụng do thám RC hoạt động đầy đủ của chúng ta để phân tích sự dị thường.
9295,"Researching new technologies unlocks new options for the colony such as new Buildings, Domes and Upgrades.

Anomalies often provide bonuses to research, such as unlocking new technologies for research or providing Research Points.

<goal>Open the Research Screen.","Nghiên cứu công nghệ mới mở khóa tùy chọn mới cho căn cứ như công trình, mái vòm và nâng cấp mới.

Dị thường thường cung cấp thưởng cho nghiên cứu, chẳng hạn như mở khóa công nghệ mới để nghiên cứu hoặc cung cấp điểm nghiên cứu.

<goal>Mở Màn hình nghiên cứu."
9294,The Anomaly has yielded interesting insights into new technologies.,Dị thường đã mang lại những hiểu biết thú vị về công nghệ mới.
9297,"Techs are divided into five basic fields and a field for special breakthrough Techs. When you research a Tech from a given basic field you will unlock a new tech in that field. Breakthrough techs are special unique techs that are unlocked via Anomalies.

<goal>Queue at least one technology for research.","Công nghệ được chia thành năm lĩnh vực cơ bản và một lĩnh vực dành cho công nghệ đột phá đặc biệt. Khi bạn nghiên cứu công nghệ từ một lĩnh vực cơ bản nhất định, bạn sẽ mở khóa một công nghệ mới trong lĩnh vực đó. Công nghệ đột phá là những công nghệ độc đáo đặc biệt được mở khóa thông qua dị thường.

<goal>Xếp hàng ít nhất một công nghệ để nghiên cứu."
9296,This is the Research screen. From here you can choose and queue techs for Research.,Đây là màn hình nghiên cứu. Từ đây - bạn có thể chọn và xếp hàng công nghệ cho nghiên cứu.
9756,"Each tech has a cost in Research Points which are generated in various ways. Your sponsor provides some Research Points to start with. Once colonists arrive you will be able to construct Research Labs which generate Research Points faster.

You can view a breakdown of the Research Points generated per Sol on the right side of the Research screen.

<goal>Close the Research screen to complete this tutorial. ","Mỗi công nghệ có chi phí trong điểm nghiên cứu được tạo ra theo nhiều cách khác nhau. Nhà tài trợ của bạn cung cấp một số điểm nghiên cứu để bắt đầu. Khi cư dân, bạn sẽ có thể xây dựng phòng thí nghiệm nghiên cứu, nơi tạo ra điểm nghiên cứu nhanh hơn.

Bạn có thể xem bảng phân tích về điểm nghiên cứu được tạo cho mỗi Sol ở phía bên phải của màn hình nghiên cứu.

<goal>Đóng màn hình nghiên cứu để hoàn thành hướng dẫn này."
9300,"Play Next Tutorial - ""Power, Water & Maintenance""","Chơi hướng dẫn tiếp theo - ""Điện, nước & bảo trì"""
9299,In this tutorial you learned how to command and use the different Rover vehicles at your disposal as well as how to scan sectors and how to research new technologies.,Trong hướng dẫn này bạn đã học cách điều khiển và sử dụng loại phương tiện Rover khác nhau theo ý của mình cũng như cách quét khu vực và cách nghiên cứu công nghệ mới.
9298,Nice work! Now you know how to handle Rovers.,Công việc tốt đẹp! Bây giờ bạn biết cách xử lý Rover.
9303,"Now it is your job to fix it up and prepare it for the first Colonists.

In this tutorial you will learn how to handle Power, Life Support grids and Building maintenance as well as how to construct your first Dome.","Bây giờ nhiệm vụ của bạn là sửa chữa nó và chuẩn bị cho cư dân đầu tiên.

Trong hướng dẫn này, bạn sẽ học cách xử lý điện, lưới hỗ trợ sự sống và bảo trì công trình cũng như cách xây mái vòm đầu tiên của bạn."
9301,The Aftermath,Hậu quả
9302,Welcome Commander! It looks like this forward base has gone through a major dust storm. ,Chào mừng chỉ huy! Có vẻ như căn cứ phía trước này đã trải qua cơn bão bụi lớn.
9306,"This Concrete Extractor has depleted its deposit and will be of no use now. We can salvage some construction materials from it.

<goal>Salvage the Concrete Extractor.","Máy chiết xuất bê tông này đã cạn kiệt trầm tích và sẽ không còn sử dụng được nữa. Chúng ta có thể tận dụng một số vật liệu xây dựng từ nó.

<goal>Tái chế máy chiết xuất bê tông."
9304,Salvaging Buildings,Tái chế công trình
9305,First things first! Let's remove some unnecessary structures.,Những điều đầu tiên trước tiên! Hãy loại bỏ một số cấu trúc không cần thiết.
9309,"We need to supply the Drone Hub with Power. The resources from the salvaged Concrete Extractor should be enough to construct a Solar Panel. It would be best to use the existing Power Cables to connect the two buildings and avoid wasting more Metals on Cables.

<goal>Power the Drone Hub with the help of a Solar Panel.","Chúng ta cần cung cấp điện cho trung tâm Drone. Tài nguyên tận dụng từ máy chiết xuất bê tông sẽ đủ để xây năng lượng mặt trời. Tốt nhất là sử dụng cáp điện hiện có để kết nối hai công trình và tránh lãng phí nhiều kim loại hơn cho cáp.

<goal>Cung cấp điện cho trung tâm Drone với sự trợ giúp của năng lượng mặt trời."
9307,Powering The Drone Hub,Điện cho trung tâm Drone
9308,Now let's get that Drone Hub operational.,Bây giờ - hãy bắt đầu hoạt động của trung tâm Drone.
9312,"You can change the Priority of buildings manually. Buildings on higher Priority get Power, Maintenance and workers first. 

<goal>Set the Drone Hub to High Priority.","Bạn có thể thay đổi mức độ ưu tiên của công trình theo cách thủ công. Công trình có mức độ ưu tiên cao hơn sẽ được cấp điện, bảo trì và công nhân trước.

<goal>Đặt trung tâm Drone thành mức độ ưu tiên cao."
9311,We have some Power but it's not enough. We should prioritize the Drone Hub.,Chúng ta có một số điện nhưng nó không đủ. Chúng ta nên ưu tiên trung tâm Drone.
9314,"Wind Turbines are a good alternative to Solar Panels as they operate day and night. They also get bonus Power production if built on high ground. However Wind Turbines have high upkeep cost and require maintenance more often than Solar Panels.

<goal>Construct a Wind Turbine and connect it to the existing Power network.","Tua bin gió là một giải pháp thay thế tốt cho năng lượng mặt trời vì chúng hoạt động cả ngày lẫn đêm. Chúng cũng đạt được thưởng Sản xuất điện nếu được xây trên mặt đất cao. Tuy nhiên, Tua bin gió có chi phí bảo trì cao và yêu cầu bảo trì thường xuyên hơn so với năng lượng mặt trời.

<goal>Xây tua bin gió và kết nối nó với mạng lưới điện hiện có."
5316,Wind Turbines,Tua bin gió
9313,We can use the Machine Parts left from the Concrete Extractor to build a Wind Turbine.,Chúng ta có thể sử dụng linh kiện máy còn lại từ máy chiết xuất bê tông để chế tạo tua bin gió.
9316,"Solar Panels provide power only during the day and we don't have Accumulators to compensate at night. You can set some of the base buildings to automatically turn off at night using the building's shifts. 

There are three shifts - First Shift, Second Shift and Night Shift. Buildings will require Power, Resources and workers only during their active shifts.

<goal>Disable the Night Shifts of the Moisture Vaporator and Fuel Refinery.","Năng lượng mặt trời chỉ cung cấp năng lượng vào ban ngày và chúng ta không có bộ tích lũy để bù vào ban đêm. Bạn có thể đặt một số công trình cơ sở tự động tắt vào ban đêm bằng cách sử dụng ca của công trình.

Có ba ca làm việc - ca thứ nhất, ca thứ hai và ca đêm. Công trình sẽ chỉ yêu cầu điện, tài nguyên và công nhân trong ca làm việc của chúng.

<goal>Tắt chế độ chuyển ban đêm của máy lọc hơi ẩm và lọc nhiên liệu."
9137,Shifts & Power Management,Quản lý ca & điện
9315,"Even with the Wind Turbine there won't be enough electricity to power the base, especially during the night.","Ngay cả với tua bin gió, sẽ không có đủ điện để cung cấp năng lượng cho căn cứ, đặc biệt là vào ban đêm."
9318,"Buildings require maintenance with Resources roughly every 6 or 7 Sols. Buildings that don't get maintenance break and won't function until repaired.

To showcase this we have simulated a breakdown of your Solar Panel. Drones will automatically repair this breakdown provided that there are Metals in range of their controller.

<goal>Examine the broken down Solar Panel.","Công trình yêu cầu bảo trì với tài nguyên khoảng 6 hoặc 7 Sol. Công trình không được bảo trì và sẽ không hoạt động cho đến khi được sửa chữa.

Để giới thiệu điều này, chúng ta đã mô phỏng sự cố của năng lượng mặt trời của bạn. Drone sẽ tự động sửa chữa sự cố này với điều kiện có kim loại trong phạm vi bộ điều khiển của chúng.

<goal>Kiểm tra năng lượng mặt trời đã chia nhỏ."
9317,"You managed to get things operational, but this won't last as buildings require maintenance and we are out of Resources.","Bạn đã quản lý để mọi thứ hoạt động, nhưng điều này sẽ không kéo dài vì công trình yêu cầu bảo trì và chúng ta đã hết tài nguyên."
9320,"The RC Transport can mine surface Metal deposits. Use it to gather 20-30 Metals and bring them back to the base. 

You can then use these Metals to setup additional Solar Panels and power up everything.

<goal>Deliver at least 20 Metals to the base with the help of the RC Transport.","Vận tải RC có thể khai thác trầm tích kim loại trên bề mặt. Sử dụng nó để thu thập 20-30 kim loại và đưa chúng trở lại căn cứ.

Sau đó, bạn có thể sử dụng kim loại này để thiết lập năng lượng mặt trời bổ sung và cung cấp điện cho mọi thứ.

<goal>Cung cấp ít nhất 20 kim loại đến cơ sở với sự trợ giúp của vận tải RC."
9096,RC Transport - Gathering Metals,Vận tải RC - Thu thập kim loại
9319,We need more Metals to secure this base. Use the RC Transport to collect some Metals and transport them back.,Chúng ta cần nhiều kim loại hơn để bảo vệ cơ sở này. Sử dụng vận tải RC để thu thập kim loại và vận chuyển chúng trở lại.
9323,"Using Rockets to resupply from Earth is the best way to secure Resources early on. You'll need funding to buy the Resources but your sponsor usually will provide you with enough to get a basic colony up and running.

<goal>Open the Resupply screen and order Advanced resources from Earth.","Sử dụng tên lửa để tiếp tế từ Trái đất là cách tốt nhất để bảo đảm tài nguyên ngay từ đầu. Bạn sẽ cần tài trợ để mua tài nguyên nhưng nhà tài trợ của bạn thường sẽ cung cấp cho bạn đủ để thiết lập và vận hành căn cứ cơ bản.

<goal>Mở màn hình tiếp tế và đặt hàng tài nguyên nâng cao từ Trái đất."
9321,Advanced Resources and Resupply,Tài nguyên nâng cao và tiếp tế
9322,Good job! However we need more than just Metals. Fortunately we can call a resupply Rocket from Earth.,Làm tốt lắm! Tuy nhiên chúng ta cần nhiều hơn chỉ là kim loại. May mắn thay chúng ta có thể gọi tên lửa tiếp tế từ Trái đất.
9325,"The remains of destroyed or salvaged Buildings will obstruct other constructions. To clear such ruins you'll need to research the ""Decommission Protocol"" technology in the Engineering field. For the purposes of this simulation we have provided you with the tech.

<goal>Clear the ruins of the Concrete Extractor.","Phần còn lại của công trình bị phá hủy hoặc tái chế sẽ cản trở công trình xây dựng khác. Để dọn sạch những tàn tích như vậy, bạn sẽ cần nghiên cứu công nghệ ""Giao thức phân rã"" trong lĩnh vực kỹ thuật. Đối với mục đích của mô phỏng này, chúng ta đã cung cấp cho bạn công nghệ.

<goal>Dọn sạch đống đổ nát của máy chiết xuất bê tông."
9147,Clearing Buildings,Dọn sạch công trình
9324,Let's do some cleaning up around the base while we wait for the Rocket to arrive.,Hãy làm một số công việc dọn dẹp xung quanh căn cứ trong khi chúng ta chờ tên lửa đến.
9328,"You can use the Salvage tools in the Build Menu to remove Cables and Pipes, as well as an alternative way to salvage Buildings.

<goal>Remove the Cables that were connected to the Concrete Extractor.","Bạn có thể sử dụng công cụ tái chế trong menu xây dựng để loại bỏ cáp và đường ống, cũng như một cách tái chế công trình.

<goal>Loại bỏ cáp được kết nối với Máy chiết xuất bê tông."
9326,Deleting Cables & Pipes,Loại bỏ cáp & đường ống
9327,Now let's remove some of the unnecessary Cables.,Bây giờ chúng ta hãy loại bỏ cáp không cần thiết.
